Sine Graph Values:
Slope: 1
Equation: y = 1 * sin(x)
Values:
(0, 0)
(0.01, 0.00999983)
(0.02, 0.0199987)
(0.03, 0.0299955)
(0.04, 0.0399893)
(0.05, 0.0499792)
(0.06, 0.059964)
(0.07, 0.0699428)
(0.08, 0.0799147)
(0.09, 0.0898785)
(0.1, 0.0998334)
(0.11, 0.109778)
(0.12, 0.119712)
(0.13, 0.129634)
(0.14, 0.139543)
(0.15, 0.149438)
(0.16, 0.159318)
(0.17, 0.169182)
(0.18, 0.17903)
(0.19, 0.188859)
(0.2, 0.198669)
(0.21, 0.20846)
(0.22, 0.21823)
(0.23, 0.227978)
(0.24, 0.237703)
(0.25, 0.247404)
(0.26, 0.257081)
(0.27, 0.266731)
(0.28, 0.276356)
(0.29, 0.285952)
(0.3, 0.29552)
(0.31, 0.305059)
(0.32, 0.314567)
(0.33, 0.324043)
(0.34, 0.333487)
(0.35, 0.342898)
(0.36, 0.352274)
(0.37, 0.361615)
(0.38, 0.37092)
(0.39, 0.380188)
(0.4, 0.389418)
(0.41, 0.398609)
(0.42, 0.40776)
(0.43, 0.416871)
(0.44, 0.425939)
(0.45, 0.434965)
(0.46, 0.443948)
(0.47, 0.452886)
(0.48, 0.461779)
(0.49, 0.470626)
(0.5, 0.479425)
(0.51, 0.488177)
(0.52, 0.49688)
(0.53, 0.505533)
(0.54, 0.514136)
(0.55, 0.522687)
(0.56, 0.531186)
(0.57, 0.539632)
(0.58, 0.548024)
(0.59, 0.556361)
(0.6, 0.564642)
(0.61, 0.572867)
(0.62, 0.581035)
(0.63, 0.589145)
(0.64, 0.597195)
(0.65, 0.605186)
(0.66, 0.613117)
(0.67, 0.620986)
(0.68, 0.628793)
(0.69, 0.636537)
(0.7, 0.644217)
(0.71, 0.651833)
(0.72, 0.659384)
(0.73, 0.666869)
(0.74, 0.674288)
(0.75, 0.681638)
(0.76, 0.688921)
(0.77, 0.696135)
(0.78, 0.703279)
(0.79, 0.710353)
(0.8, 0.717356)
(0.81, 0.724287)
(0.82, 0.731146)
(0.83, 0.737931)
(0.839999, 0.744643)
(0.849999, 0.75128)
(0.859999, 0.757842)
(0.869999, 0.764329)
(0.879999, 0.770739)
(0.889999, 0.777071)
(0.899999, 0.783327)
(0.909999, 0.789503)
